NAME,Story (ENSO...),Longitude,Latitude,Date,All,Pre-1970,1970-1990,1990-2000,2000-Present,Temperature,Precipitation,Plants,Ocean,Animals,Society,Direction,V_Direction,Link,Tags,Location,Time Frame
FIRES IN INDONESIA,Causes severe drought that - compounded by logging - feeds the largest fire disaster ever observed.,1.1299164,116.5731976,1997-1998,1,0,0,1,0,1,1,0,0,0,0,1,0,http://www.nature.com/nature/journal/v414/n6862/full/414437a0.html,"Temperature, Precipitation","1.1299164, 116.5731976",1990 to 2000
LANDSLIDES IN KENYA,Triggers record rainfall that led to mudslides and $1 billion in estimated damages.,0.086304,37.88422,1997-1998,1,0,0,1,0,1,1,0,0,0,0,1,0,http://link.springer.com/article/10.1007/s002540050425#page-1,"Temperature, Precipitation","0.086304, 37.884220 ",1990 to 2000
KELP FORESTS OFF CALIFORNIA,Decimates giant kelp populations along North American coast.,31.664454,-117.36914,1997-1999,1,0,0,1,0,0,0,1,1,0,0,1,0,http://bio.classes.ucsc.edu/bio161/Papers/Edwards_04_Oecologia.pdf,"Plants, Ocean","31.664454, -117.369140 ",1990 to 2000
RAINFALL IN SOUTHERN BRAZIL,Causes wet anomalies in the spring before warm years and dry anomalies in the spring before cool years.,-25.809707,-50.519412,1910-1991,1,1,1,1,0,0,1,0,0,0,0,1,0,http://www.icess.ucsb.edu/gem/Grimm.et.al.harmonic.dials.J.cliimate.pdf,Precipitation,"-25.809707, -50.519412 ",After 2000
GALAPAGOS PENGUIN,Results in a drastic 77% decline in penguin populations.,-0.783563,-91.081661,1982-1983,1,0,1,0,0,1,0,0,0,1,0,-1,0,http://www.sciencedirect.com/science/article/pii/S0006320705003095,"Animals, Temperature","-0.783563, -91.081661 ",1970-1990
CORAL IN THE MALDIVES,Linked to record low in coverage of Maldive-Chagos coral reefs.,-3.240712,73.450195,1997-1998,1,0,0,1,0,0,0,0,1,1,0,1,0,http://www.sciencedirect.com/science/article/pii/S0025326X00000643,"Animals, Ocean","-3.240712, 73.450195 ",1990-2000
NORTHERN ANCHOVY OFF CALIFORNIA,Reduces fish size and growth into 1984.,34.751239,-120.920012,1982-1983,1,0,1,0,0,0,0,0,0,1,0,-1,0,http://swfsc.noaa.gov/publications/CR/1986/8625.PDF,Animals,"34.751239, -120.920012 ",1970-1990
LIVESTOCK IN TANZANIA,Reshapes livestock populations through rainfall differences in highlands and lowlands.,-2.899535,35.065339,1998,1,0,0,1,0,0,0,0,0,1,1,1,3.5,http://asprs.org/a/publications/pers/2000journal/june/2000_jun_737-744.pdf,"Animals, Society","-2.899535, 35.065339 ",1990-2000
PLANKTON IN WESTERN PACIFIC,Shifts nutrient distribution and results in post-ENSO phytoplankton bloom.,-21.169754,166.159319,1987-1988,1,0,1,0,0,0,0,1,1,0,0,1,1.5,http://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_5/b_fdi_31-32/35686.pdf,"Plants, Ocean","-21.169754, 166.159319 ",1970-1990
SEED BANKS IN CHILE,Increases rainfall and drives 5 to 10 times higher seed densities in arid soil. ,-30.667571,-71.668276,1991-1992,1,0,0,1,0,0,1,1,0,0,0,-1,0,http://www.ieb-chile.cl/otras_publicaciones/JGutierrez/Gutierrez_Meserve_2003_Oecologia.pdf,"Plants, Precipitation","-30.667571, -71.668276 ",
LEVEL OF CASPIAN SEA,Tentatively linked via teleconnection to the drastic rise of the world's largest lake.,39,51,1978-1995,1,0,1,1,0,0,1,0,0,0,0,1,0,http://onlinelibrary.wiley.com/doi/10.1029/1999GL002374/pdf,Precipitation,"41.242334, 51.210349 ",1970-1990
TIBETAN PLATEAU SNOWFALL,Linked via teleconnection to increased winter snowfall in Tibet which weakens summer monsoons.,32.991648,92.014076,1978-1987,1,0,1,0,0,0,1,0,0,0,0,1,1,http://ir.library.oregonstate.edu/xmlui/bitstream/handle/1957/27762/ShamanJeffrey.CEOAS.EffectENSOTibetan.pdf?sequence=1,Precipitation,"32.991648, 92.014076 ",1970-1990
TUNA IN THE PALMYRA ATOLL,Increases the catch rates of bigeye tuna fisherman.,5.875954,-162.051913,1994-2003,1,0,0,1,1,0,0,0,0,1,1,1,0,http://www.soest.hawaii.edu/pfrp/reprints/howell_2006.pdf,"Animals, Society","5.875954, -162.051913 ",After 2000
